Action	Reward
{'layer1_row398': [1, 398]}	tensor(0.8897)
{'layer0_col780': [0, 699]}	tensor(0.8889)
{'layer0_row669': [0, 669]}	tensor(0.8885)
{'layer2_col195': [2, 9]}	tensor(0.8891)
{'layer0_row410': [0, 410]}	tensor(0.8901)
{'layer0_col653': [0, 699]}	tensor(0.8898)
{'layer2_col317': [2, 9]}	tensor(0.8902)
{'layer1_row84': [1, 84]}	tensor(0.8893)
{'layer1_col322': [1, 499]}	tensor(0.8899)
{'layer1_row176': [1, 176]}	tensor(0.8897)
{'layer1_row261': [1, 261]}	tensor(0.8890)
{'layer0_col294': [0, 699]}	tensor(0.8896)
{'layer0_col290': [0, 699]}	tensor(0.8900)
{'layer1_col502': [1, 499]}	tensor(0.8897)
{'layer0_row610': [0, 610]}	tensor(0.8898)
{'layer1_col585': [1, 499]}	tensor(0.8894)
{'layer0_row553': [0, 553]}	tensor(0.8896)
{'layer2_col382': [2, 9]}	tensor(0.8902)
{'layer0_row663': [0, 663]}	tensor(0.8901)
{'layer1_row48': [1, 48]}	tensor(0.8901)
{'layer2_col401': [2, 9]}	tensor(0.8903)
{'layer0_col745': [0, 699]}	tensor(0.8905)
{'layer1_row235': [1, 235]}	tensor(0.8899)
{'layer1_col78': [1, 499]}	tensor(0.8904)
{'layer0_col58': [0, 699]}	tensor(0.8904)
{'layer0_col146': [0, 699]}	tensor(0.8898)
{'layer1_row0': [1, 0]}	tensor(0.8909)
{'layer2_col490': [2, 9]}	tensor(0.8909)
{'layer1_col673': [1, 499]}	tensor(0.8904)
{'layer1_col667': [1, 499]}	tensor(0.8899)
{'layer1_row395': [1, 395]}	tensor(0.8899)
{'layer0_row449': [0, 449]}	tensor(0.8892)
{'layer0_col115': [0, 699]}	tensor(0.8900)
{'layer2_col127': [2, 9]}	tensor(0.8900)
{'layer1_row198': [1, 198]}	tensor(0.8895)
{'layer2_col173': [2, 9]}	tensor(0.8895)
{'layer0_col358': [0, 699]}	tensor(0.8891)
{'layer0_col236': [0, 699]}	tensor(0.8904)
{'layer0_col661': [0, 699]}	tensor(0.8894)
{'layer0_row162': [0, 162]}	tensor(0.8894)
{'layer0_col245': [0, 699]}	tensor(0.8907)
{'layer1_row468': [1, 468]}	tensor(0.8890)
{'layer2_col206': [2, 9]}	tensor(0.8898)
{'layer0_row434': [0, 434]}	tensor(0.8899)
{'layer0_row3': [0, 3]}	tensor(0.8894)
{'layer2_col49': [2, 9]}	tensor(0.8896)
{'layer0_col205': [0, 699]}	tensor(0.8894)
{'layer0_col411': [0, 699]}	tensor(0.8902)
{'layer0_col21': [0, 699]}	tensor(0.8893)
{'layer0_col603': [0, 699]}	tensor(0.8891)
{'layer1_col583': [1, 499]}	tensor(0.8893)
{'layer0_row579': [0, 579]}	tensor(0.8901)
{'layer1_row156': [1, 156]}	tensor(0.8896)
{'layer0_row344': [0, 344]}	tensor(0.8893)
{'layer1_col546': [1, 499]}	tensor(0.8892)
{'layer2_col394': [2, 9]}	tensor(0.8901)
{'layer0_row167': [0, 167]}	tensor(0.8895)
{'layer1_col554': [1, 499]}	tensor(0.8891)
{'layer0_col335': [0, 699]}	tensor(0.8894)
{'layer1_row307': [1, 307]}	tensor(0.8894)
