	SEARCH	ALPHA	GAMMA	PRUNE_TYPE	PRUNE_PERCENT	EPS	REWARD_TYPE	Q_UPDATE	ACCURACY
0	EPSILON_SEARCH	0.9	0.6	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	89.94517322735194
1	EPSILON_SEARCH	0.9	0.5	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	88.69234995431783
2	EPSILON_SEARCH	0.9	0.4	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	50.46842793060808
3	ALPHA_SEARCH	0.2	0.5	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	88.5937485675775
4	EPSILON_SEARCH	0.9	1.0	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	50.40185118969907
5	ALPHA_SEARCH	0.2	0.7	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	50.11435005236025
6	EPSILON_SEARCH	0.9	0.7	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	89.22591187542542
7	ALPHA_SEARCH	0.2	0.4	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	89.86047703217798
8	EPSILON_SEARCH	0.9	0.8	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	89.39669477982406
9	ALPHA_SEARCH	0.2	0.6	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	90.20746581431042
10	ALPHA_SEARCH	0.2	0.9	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	91.21413662390347
11	ALPHA_SEARCH	0.2	0.8	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	90.00452068944394
12	EPSILON_SEARCH	0.9	0.9	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	89.79988995563218
13	ALPHA_SEARCH	0.2	1.0	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	90.24333316953332
14	ALPHA_SEARCH	0.2	1.0	ROW	0.8	0.1	ACC_COMPRESSION	_SARSA	50.40954258846732
15	EPSILON_SEARCH	0.9	0.9	ROW	0.8	0.1	ACC_COMPRESSION	_SARSA	90.09218091619705
16	EPSILON_SEARCH	0.9	1.0	ROW	0.8	0.1	ACC_COMPRESSION	_SARSA	50.48305629589328
17	ALPHA_SEARCH	0.2	0.8	ROW	0.8	0.1	ACC_COMPRESSION	_SARSA	50.39218576309319
18	ALPHA_SEARCH	0.2	0.9	ROW	0.8	0.1	ACC_COMPRESSION	_SARSA	85.969174221368
19	EPSILON_SEARCH	0.9	0.5	ROW	0.8	0.1	ACC_COMPRESSION	_SARSA	86.74636468386196
20	EPSILON_SEARCH	0.9	0.6	ROW	0.8	0.1	ACC_COMPRESSION	_SARSA	86.80770311660012
21	ALPHA_SEARCH	0.2	0.7	ROW	0.8	0.1	ACC_COMPRESSION	_SARSA	89.70023407598691
22	ALPHA_SEARCH	0.2	0.4	ROW	0.8	0.1	ACC_COMPRESSION	_SARSA	35.013541606386354
23	EPSILON_SEARCH	0.9	0.8	ROW	0.8	0.1	ACC_COMPRESSION	_SARSA	88.97166466356981
24	ALPHA_SEARCH	0.2	0.6	ROW	0.8	0.1	ACC_COMPRESSION	_SARSA	90.08510939916017
25	EPSILON_SEARCH	0.9	0.4	ROW	0.8	0.1	ACC_COMPRESSION	_SARSA	88.8340771944107
26	ALPHA_SEARCH	0.2	0.5	ROW	0.8	0.1	ACC_COMPRESSION	_SARSA	90.06270698566419
27	EPSILON_SEARCH	0.9	0.7	ROW	0.8	0.1	ACC_COMPRESSION	_SARSA	89.9079057725836
