	SEARCH	ALPHA	GAMMA	PRUNE_TYPE	PRUNE_PERCENT	EPS	REWARD_TYPE	Q_UPDATE	ACCURACY
0	EPSILON_SEARCH	0.7	None	ROW	0.8	0.1	ACC_COMPRESSION	_QL_M	90.8662073907816
1	ALPHA_SEARCH	0.2	None	ROW	0.8	0.5	ACC_COMPRESSION	_QL_M	90.03673017671699
2	EPSILON_SEARCH	0.8	None	ROW	0.8	0.1	ACC_COMPRESSION	_QL_M	0.0998712972678259
3	ALPHA_SEARCH	0.2	None	ROW	0.8	0.6	ACC_COMPRESSION	_QL_M	90.4563180801147
4	EPSILON_SEARCH	1.0	None	ROW	0.8	0.1	ACC_COMPRESSION	_QL_M	90.86282812319561
5	EPSILON_SEARCH	0.9	None	ROW	0.8	0.1	ACC_COMPRESSION	_QL_M	89.82810771024629
6	EPSILON_SEARCH	0.6	None	ROW	0.8	0.1	ACC_COMPRESSION	_QL_M	90.40194370299136
7	ALPHA_SEARCH	0.2	None	ROW	0.8	0.1	ACC_COMPRESSION	_QL_M	90.07948271222446
8	ALPHA_SEARCH	0.2	None	ROW	0.8	0.2	ACC_COMPRESSION	_QL_M	89.35666016490671
9	ALPHA_SEARCH	0.2	None	ROW	0.8	0.3	ACC_COMPRESSION	_QL_M	91.12377842818533
10	ALPHA_SEARCH	0.2	None	ROW	0.8	0.4	ACC_COMPRESSION	_QL_M	90.74106225453296
11	EPSILON_SEARCH	0.5	None	ROW	0.8	0.1	ACC_COMPRESSION	_QL_M	89.31862321657754
12	EPSILON_SEARCH	0.4	None	ROW	0.8	0.1	ACC_COMPRESSION	_QL_M	90.75913898601554
