	SEARCH	ALPHA	GAMMA	PRUNE_TYPE	PRUNE_PERCENT	EPS	REWARD_TYPE	Q_UPDATE	ACCURACY
0	EPSILON_SEARCH	0.9	0.6	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	89.94517322735194
1	EPSILON_SEARCH	0.9	0.5	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	88.69234995431783
2	EPSILON_SEARCH	0.9	0.4	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	0.09990195254805023
3	ALPHA_SEARCH	0.2	0.5	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	88.5937485675775
4	EPSILON_SEARCH	0.9	1.0	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	0.09990169133005969
5	ALPHA_SEARCH	0.2	0.7	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	0.09990055534735211
6	EPSILON_SEARCH	0.9	0.7	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	89.22591187542542
7	ALPHA_SEARCH	0.2	0.4	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	89.86047703217798
8	EPSILON_SEARCH	0.9	0.8	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	89.39669477982406
9	ALPHA_SEARCH	0.2	0.6	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	90.20746581431042
10	ALPHA_SEARCH	0.2	0.9	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	91.21413662390347
11	ALPHA_SEARCH	0.2	0.8	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	90.00452068944394
12	EPSILON_SEARCH	0.9	0.9	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	89.79988995563218
13	ALPHA_SEARCH	0.2	1.0	ROW	0.8	0.1	ACC_COMPRESSION	_QL_WIKI	90.24333316953332
